year,days_since_0401,bird_density
2016,-32,3.81398
2016,-29,12.44257
2016,-28,8.70489
2016,-27,10.18558
2016,-26,4.10239
2016,-25,9.50535
2016,-24,11.06527
2016,-23,8.88001
2016,-22,5.02147
2016,-21,7.10418
2016,-20,15.55957
2016,-19,4.31155
2016,-18,2.96412
2016,-17,4.28596
2016,-16,3.14763
2016,-15,14.86812
2016,-14,22.43560
2016,-13,7.16968
2016,-12,8.86536
2016,-11,41.36214
2016,-10,47.35828
2016,-9,8.65096
2016,-8,22.34010
2016,-7,50.25736
2016,-6,65.26776
2016,-5,16.35961
2016,-4,24.12618
2016,-3,19.78141
2016,-2,14.00947
2016,-1,10.41634
2016,0,13.27620
2016,1,10.52431
2016,2,25.40423
2016,3,22.13358
2016,4,13.77019
2016,5,9.43983
2016,6,7.03934
2016,7,7.90495
2016,8,11.25247
2016,9,9.58329
2016,10,14.45637
2016,11,18.03050
2016,12,13.95014
2016,13,13.50013
2016,14,9.43258
2016,15,7.21163
2016,16,5.54196
2016,17,7.65287
2016,18,5.94888
2016,19,5.20705
2016,20,6.65473
2016,21,7.05519
2016,22,6.73628
2016,23,5.42808
2016,24,5.99331
2016,25,7.37465
2016,26,8.03122
2016,27,18.92419
2016,28,7.84716
2017,-45,15.91050
2017,-44,7.65986
2017,-43,6.49634
2017,-42,9.55314
2017,-41,4.84340
2017,-40,5.53780
2017,-39,4.19905
2017,-38,3.04276
2017,-37,2.65205
2017,-36,8.21537
2017,-35,6.88304
2017,-34,4.91550
2017,-33,5.33696
2017,-32,4.33868
2017,-31,2.24160
2017,-30,18.29889
2017,-29,16.16074
2017,-28,17.64316
2017,-27,15.81309
2017,-26,6.41720
2017,-25,19.09628
2017,-24,12.28673
2017,-22,21.73017
2017,-21,17.87580
2017,-20,16.50175
2017,-19,53.02799
2017,-18,45.71066
2017,-17,24.47769
2017,-16,22.38846
2017,-15,7.66954
2017,-14,0.85677
2017,-13,12.73378
2017,-11,19.69218
2017,-10,7.82146
2017,-9,5.67281
2017,-8,2.36402
2017,-7,1.86202
2017,-6,6.15242
2017,-5,39.31972
2017,-4,23.18481
2017,-3,9.06031
2017,-2,14.42065
2017,-1,12.51197
2017,0,10.19562
2017,1,9.29150
2017,2,9.16242
2017,3,9.16769
2017,4,3.39291
2017,5,2.78069
2017,6,5.10791
2017,7,6.16122
2017,8,25.65639
2017,9,9.46312
2017,10,1.42500
2017,11,3.07374
2017,12,3.69084
2017,13,6.96116
2017,14,4.21552
2017,15,2.55647
2017,16,3.54562
2017,17,2.33421
2017,18,2.36455
2017,19,10.78296
2017,20,4.38077
2017,21,2.15832
2017,22,6.61174
2017,23,5.17154
2017,24,2.39507
2017,25,2.14967
2017,26,3.07287
2017,27,3.62189
2017,28,13.59403
2017,29,13.04274
